   5.97345,       nan,       nan,       nan,       nan,       nan,       nan,       nan,       nan,       nan
  10.13153,  66.66667,       nan,       nan,       nan,       nan,       nan,       nan,       nan,       nan
   7.72523,  15.09434,       nan,       nan,       nan,       nan,       nan,       nan,       nan,       nan
   5.59170,  10.65230,       nan,       nan,       nan,       nan,       nan,       nan,       nan,       nan
   3.83147,   6.24471,   6.06061,       nan,       nan,       nan,       nan,       nan,       nan,       nan
   2.53156,   3.68530,   8.51064,   0.00000,       nan,       nan,       nan,       nan,       nan,       nan
   1.66485,   2.39818,   3.37922,   7.81250,       nan,       nan,       nan,       nan,       nan,       nan
   1.09426,   1.58679,   1.99949,   7.48899,       nan,       nan,       nan,       nan,       nan,       nan
   0.71286,   0.91162,   0.96447,   1.73053,   0.00000,       nan,       nan,       nan,       nan,       nan
   0.44745,   0.56608,   0.64758,   0.87558,   0.00000,       nan,       nan,       nan,       nan,       nan
   0.30448,   0.39107,   0.39025,   0.47942,   0.00000,       nan,       nan,       nan,       nan,       nan
   0.18495,   0.21220,   0.18820,   0.25381,   0.00000,   0.00000,       nan,       nan,       nan,       nan
   0.12392,   0.13679,   0.15757,   0.14371,   0.23319,   0.00000,   0.00000,       nan,       nan,       nan
   0.10908,   0.13502,   0.07113,   0.08910,   0.03999,   0.18639,   0.00000,       nan,       nan,       nan
   0.00000,   0.07639,   0.04183,   0.04048,   0.02810,   0.01616,   0.01482,   0.00000,   0.00835,   0.00243
